City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Manzanillo,CU,2020-08-29 17:36:50,20.34,-77.12,90.86,60,1,3.42
1,Mataura,NZ,2020-08-29 17:35:07,-46.19,168.86,48.61,82,100,7.0
2,Ushuaia,AR,2020-08-29 17:33:59,-54.8,-68.3,32.0,83,75,12.75
3,Avarua,CK,2020-08-29 17:38:18,-21.21,-159.78,71.6,83,2,11.41
4,Coaldale,CA,2020-08-29 17:38:17,49.72,-112.62,64.99,52,75,18.34
5,Rikitea,PF,2020-08-29 17:38:18,-23.12,-134.97,69.87,66,92,6.46
6,Hermanus,ZA,2020-08-29 17:35:11,-34.42,19.23,42.01,86,64,1.01
7,Kavieng,PG,2020-08-29 17:38:18,-2.57,150.8,81.45,77,35,11.32
8,Bredasdorp,ZA,2020-08-29 17:35:06,-34.53,20.04,44.6,87,70,6.93
9,Puerto Ayora,EC,2020-08-29 17:35:05,-0.74,-90.35,73.4,69,20,19.46
10,Vaini,TO,2020-08-29 17:32:26,-21.2,-175.2,73.4,88,20,8.05
11,Chilca,PE,2020-08-29 17:38:19,-12.52,-76.74,62.6,77,90,5.82
12,Adrar,MR,2020-08-29 17:36:38,20.5,-10.07,106.41,7,0,17.92
13,Kahului,US,2020-08-29 17:33:00,20.89,-156.47,78.8,65,40,9.17
14,Naze,JP,2020-08-29 17:35:07,28.37,129.48,80.6,94,75,5.82
15,Veraval,IN,2020-08-29 17:38:19,20.9,70.37,79.59,89,100,13.27
16,Port Lincoln,AU,2020-08-29 17:38:19,-34.73,135.87,56.89,76,57,16.58
17,Paracuru,BR,2020-08-29 17:38:19,-3.41,-39.03,80.01,74,13,30.0
18,Mzimba,MW,2020-08-29 17:38:19,-11.9,33.6,70.97,38,57,12.37
19,Islamkot,PK,2020-08-29 17:38:20,24.7,70.18,87.24,70,99,11.7
20,Cape Town,ZA,2020-08-29 17:34:17,-33.93,18.42,50.0,57,40,14.99
21,Wattegama,LK,2020-08-29 17:38:20,6.8,81.48,78.8,73,56,4.32
22,Quatre Cocos,MU,2020-08-29 17:36:41,-20.21,57.76,71.6,73,75,14.99
23,Basoda,IN,2020-08-29 17:38:20,23.85,77.93,75.67,92,99,13.42
24,Albany,US,2020-08-29 17:35:02,42.6,-73.97,75.99,85,100,6.78
25,Fortuna,US,2020-08-29 17:38:08,40.6,-124.16,59.0,100,90,4.7
26,Sibolga,ID,2020-08-29 17:38:21,1.74,98.78,77.56,83,99,3.22
27,Barrow,US,2020-08-29 17:36:26,71.29,-156.79,37.4,86,90,18.34
28,Vanimo,PG,2020-08-29 17:38:21,-2.67,141.3,76.46,82,82,5.44
29,Mount Isa,AU,2020-08-29 17:36:38,-20.73,139.5,62.6,46,0,13.8
30,Leningradskiy,RU,2020-08-29 17:38:21,69.38,178.42,36.3,92,100,8.28
31,Hilo,US,2020-08-29 17:38:21,19.73,-155.09,73.0,78,40,5.82
32,Tasiilaq,GL,2020-08-29 17:36:39,65.61,-37.64,42.8,70,75,18.34
33,Busselton,AU,2020-08-29 17:36:34,-33.65,115.33,42.01,69,5,7.16
34,Tenenkou,ML,2020-08-29 17:38:21,14.46,-4.92,87.17,53,99,7.34
35,Daura,NG,2020-08-29 17:38:21,11.55,11.41,76.8,82,73,2.13
36,Bluff,NZ,2020-08-29 17:36:37,-46.6,168.33,52.47,79,96,31.54
37,Port Hardy,CA,2020-08-29 17:38:22,50.7,-127.42,59.0,77,40,11.41
